report_date,disease,cases,deaths,confirmed
2009-01-01,Cholera,12,5,2
2009-01-01,Diarrhoea,10,5,6
2009-01-01,Ebola,5,3,0
2009-01-01,Malaria,5,1,2
2009-01-01,Marburg Virus,7,4,0
2009-01-01,Measles,5,0,2
2009-01-01,Meningitis,4,4,0
2009-01-01,Rubella Mars,13,4,0
2009-01-01,Viral Haemmorrhaphic Fever,12,9,0
2009-01-01,Yellow Fever,9,8,7
2009-01-02,Yellow Fever,8,3,6
2009-01-02,Viral Haemmorrhaphic Fever,12,6,0
2009-01-02,Rubella Mars,11,8,0
2009-01-02,Measles,9,3,4
2009-01-02,Meningitis,13,5,0
2009-01-02,Malaria,4,2,3
2009-01-02,Ebola,3,1,0
2009-01-02,Diarrhoea,7,4,2
2009-01-02,Cholera,8,3,4
2009-01-02,Marburg Virus,12,6,0
2009-01-03,Yellow Fever,8,2,4
2009-01-03,Viral Haemmorrhaphic Fever,6,2,0
2009-01-03,Rubella Mars,6,3,0
2009-01-03,Meningitis,10,4,0
2009-01-03,Measles,6,3,5
2009-01-03,Marburg Virus,9,4,0
2009-01-03,Ebola,4,1,0
2009-01-03,Diarrhoea,5,2,4
2009-01-03,Cholera,7,4,6
2009-01-03,Malaria,1,0,0
2009-01-04,Meningitis,8,4,0
2009-01-04,Yellow Fever,4,1,3
2009-01-04,Viral Haemmorrhaphic Fever,8,1,0
2009-01-04,Measles,9,4,4
2009-01-04,Rubella Mars,7,3,0
2009-01-04,Malaria,6,4,2
2009-01-04,Cholera,5,3,0
2009-01-04,Diarrhoea,5,3,2
2009-01-04,Marburg Virus,6,2,0
2009-01-04,Ebola,6,1,0
2009-01-05,Cholera,8,6,4
2009-01-05,Diarrhoea,10,6,4
2009-01-05,Ebola,6,4,0
2009-01-05,Malaria,8,2,4
2009-01-05,Measles,5,1,3
2009-01-05,Meningitis,9,8,0
2009-01-05,Rubella Mars,11,2,0
2009-01-05,Viral Haemmorrhaphic Fever,6,2,0
2009-01-05,Yellow Fever,4,3,2
2009-01-05,Marburg Virus,5,4,0
2009-01-06,Measles,6,2,2
2009-01-06,Viral Haemmorrhaphic Fever,10,5,0
2009-01-06,Rubella Mars,11,5,0
2009-01-06,Meningitis,7,5,0
2009-01-06,Yellow Fever,11,4,4
2009-01-06,Marburg Virus,8,6,0
2009-01-06,Ebola,8,5,0
2009-01-06,Diarrhoea,8,3,4
2009-01-06,Cholera,6,4,4
2009-01-06,Malaria,11,2,7
2009-01-07,Yellow Fever,5,2,4
2009-01-07,Viral Haemmorrhaphic Fever,9,4,0
2009-01-07,Rubella Mars,5,5,0
2009-01-07,Meningitis,8,4,0
2009-01-07,Measles,8,4,3
2009-01-07,Malaria,9,5,6
2009-01-07,Ebola,9,4,0
2009-01-07,Diarrhoea,8,5,7
2009-01-07,Cholera,10,5,6
2009-01-07,Marburg Virus,18,6,0
2009-01-08,Meningitis,11,5,0
2009-01-08,Yellow Fever,7,7,3
2009-01-08,Viral Haemmorrhaphic Fever,12,8,0
2009-01-08,Rubella Mars,11,4,0
2009-01-08,Measles,11,6,5
2009-01-08,Ebola,11,2,0
2009-01-08,Malaria,2,1,2
2009-01-08,Marburg Virus,8,4,0
2009-01-08,Diarrhoea,10,3,6
2009-01-08,Cholera,5,2,2
2009-01-09,Yellow Fever,5,1,3
2009-01-09,Viral Haemmorrhaphic Fever,3,3,0
2009-01-09,Rubella Mars,6,0,0
2009-01-09,Meningitis,5,5,0
2009-01-09,Measles,9,5,3
2009-01-09,Marburg Virus,8,4,0
2009-01-09,Malaria,4,2,2
2009-01-09,Ebola,6,3,0
2009-01-09,Diarrhoea,6,3,2
2009-01-09,Cholera,11,6,5
2009-01-10,Yellow Fever,7,3,3
2009-01-10,Viral Haemmorrhaphic Fever,8,3,0
2009-01-10,Rubella Mars,7,4,0
2009-01-10,Meningitis,8,6,0
2009-01-10,Measles,6,4,1
2009-01-10,Malaria,9,3,1
2009-01-10,Ebola,6,3,0
2009-01-10,Diarrhoea,12,8,7
2009-01-10,Cholera,11,8,5
2009-01-10,Marburg Virus,4,1,0
2009-01-11,Marburg Virus,9,5,0
2009-01-11,Cholera,4,3,2
2009-01-11,Diarrhoea,8,4,3
2009-01-11,Ebola,10,3,0
2009-01-11,Malaria,9,4,2
2009-01-11,Measles,6,2,5
2009-01-11,Meningitis,6,2,0
2009-01-11,Rubella Mars,9,5,0
2009-01-11,Viral Haemmorrhaphic Fever,6,4,0
2009-01-11,Yellow Fever,9,4,4
2009-01-12,Rubella Mars,16,8,0
2009-01-12,Meningitis,10,4,0
2009-01-12,Yellow Fever,5,4,1
2009-01-12,Viral Haemmorrhaphic Fever,11,6,0
2009-01-12,Measles,10,2,4
2009-01-12,Cholera,7,4,4
2009-01-12,Malaria,8,6,5
2009-01-12,Ebola,9,3,0
2009-01-12,Diarrhoea,9,6,3
2009-01-12,Marburg Virus,7,4,0
2009-01-13,Yellow Fever,11,7,6
2009-01-13,Viral Haemmorrhaphic Fever,9,4,0
2009-01-13,Rubella Mars,10,6,0
2009-01-13,Meningitis,14,5,0
2009-01-13,Measles,6,0,3
2009-01-13,Malaria,7,5,5
2009-01-13,Ebola,7,5,0
2009-01-13,Diarrhoea,6,5,2
2009-01-13,Cholera,5,4,1
2009-01-13,Marburg Virus,10,5,0
2009-01-14,Meningitis,11,6,0
2009-01-14,Yellow Fever,2,1,1
2009-01-14,Viral Haemmorrhaphic Fever,9,4,0
2009-01-14,Rubella Mars,6,2,0
2009-01-14,Measles,7,4,3
2009-01-14,Cholera,10,5,6
2009-01-14,Malaria,6,3,3
2009-01-14,Ebola,8,2,0
2009-01-14,Diarrhoea,6,2,2
2009-01-14,Marburg Virus,7,6,0
2009-01-15,Meningitis,5,3,0
2009-01-15,Yellow Fever,8,3,5
2009-01-15,Viral Haemmorrhaphic Fever,3,2,0
2009-01-15,Rubella Mars,13,7,0
2009-01-15,Measles,7,5,3
2009-01-15,Diarrhoea,7,3,4
2009-01-15,Malaria,10,4,4
2009-01-15,Cholera,4,3,0
2009-01-15,Marburg Virus,14,9,0
2009-01-15,Ebola,4,2,0
2009-01-16,Cholera,12,7,8
2009-01-16,Diarrhoea,6,2,2
2009-01-16,Ebola,5,4,0
2009-01-16,Malaria,6,1,3
2009-01-16,Marburg Virus,15,4,0
2009-01-16,Measles,7,1,4
2009-01-16,Meningitis,13,8,0
2009-01-16,Rubella Mars,7,3,0
2009-01-16,Viral Haemmorrhaphic Fever,5,3,0
2009-01-16,Yellow Fever,4,1,2
2009-01-17,Yellow Fever,12,5,6
2009-01-17,Viral Haemmorrhaphic Fever,8,3,0
2009-01-17,Rubella Mars,10,7,0
2009-01-17,Measles,7,3,6
2009-01-17,Meningitis,12,8,0
2009-01-17,Malaria,9,5,4
2009-01-17,Ebola,9,4,0
2009-01-17,Diarrhoea,9,2,4
2009-01-17,Cholera,11,6,4
2009-01-17,Marburg Virus,6,4,0
2009-01-18,Yellow Fever,6,3,3
2009-01-18,Viral Haemmorrhaphic Fever,7,5,0
2009-01-18,Rubella Mars,5,3,0
2009-01-18,Meningitis,6,3,0
2009-01-18,Measles,7,4,4
2009-01-18,Marburg Virus,9,4,0
2009-01-18,Ebola,4,2,0
2009-01-18,Diarrhoea,13,7,7
2009-01-18,Cholera,10,5,7
2009-01-18,Malaria,8,6,3
2009-01-19,Meningitis,5,3,0
2009-01-19,Yellow Fever,7,2,4
2009-01-19,Viral Haemmorrhaphic Fever,9,5,0
2009-01-19,Rubella Mars,3,1,0
2009-01-19,Measles,6,3,4
2009-01-19,Diarrhoea,9,3,4
2009-01-19,Malaria,8,5,3
2009-01-19,Marburg Virus,8,5,0
2009-01-19,Cholera,5,2,2
2009-01-19,Ebola,9,5,0
2009-01-20,Cholera,8,5,4
2009-01-20,Diarrhoea,7,1,5
2009-01-20,Ebola,10,5,0
2009-01-20,Malaria,5,3,2
2009-01-20,Marburg Virus,6,1,0
2009-01-20,Measles,8,3,5
2009-01-20,Meningitis,7,6,0
2009-01-20,Rubella Mars,8,5,0
2009-01-20,Viral Haemmorrhaphic Fever,4,1,0
2009-01-20,Yellow Fever,5,1,2
2009-01-21,Diarrhoea,6,1,4
2009-01-21,Yellow Fever,8,4,5
2009-01-21,Viral Haemmorrhaphic Fever,7,4,0
2009-01-21,Rubella Mars,6,5,0
2009-01-21,Meningitis,10,6,0
2009-01-21,Cholera,8,4,4
2009-01-21,Marburg Virus,10,8,0
2009-01-21,Malaria,4,3,3
2009-01-21,Ebola,10,5,0
2009-01-21,Measles,13,5,10
2009-01-22,Yellow Fever,6,3,5
2009-01-22,Viral Haemmorrhaphic Fever,8,6,0
2009-01-22,Rubella Mars,12,4,0
2009-01-22,Meningitis,11,8,0
2009-01-22,Measles,8,5,7
2009-01-22,Marburg Virus,5,3,0
2009-01-22,Ebola,7,3,0
2009-01-22,Diarrhoea,7,4,3
2009-01-22,Cholera,7,2,4
2009-01-22,Malaria,7,6,3
2009-01-23,Viral Haemmorrhaphic Fever,6,2,0
2009-01-23,Rubella Mars,4,1,0
2009-01-23,Meningitis,8,1,0
2009-01-23,Measles,13,5,4
2009-01-23,Yellow Fever,6,4,2
2009-01-23,Malaria,11,8,5
2009-01-23,Ebola,10,7,0
2009-01-23,Diarrhoea,8,5,2
2009-01-23,Cholera,10,4,4
2009-01-23,Marburg Virus,11,6,0
2009-01-24,Yellow Fever,9,4,7
2009-01-24,Viral Haemmorrhaphic Fever,8,3,0
2009-01-24,Rubella Mars,10,6,0
2009-01-24,Meningitis,7,2,0
2009-01-24,Measles,5,1,3
2009-01-24,Marburg Virus,9,4,0
2009-01-24,Ebola,3,0,0
2009-01-24,Diarrhoea,8,7,5
2009-01-24,Cholera,7,2,6
2009-01-24,Malaria,7,6,3
2009-01-25,Meningitis,10,5,0
2009-01-25,Viral Haemmorrhaphic Fever,4,4,0
2009-01-25,Rubella Mars,6,1,0
2009-01-25,Measles,8,2,3
2009-01-25,Yellow Fever,9,4,3
2009-01-25,Malaria,9,4,5
2009-01-25,Cholera,6,6,1
2009-01-25,Marburg Virus,8,5,0
2009-01-25,Ebola,7,3,0
2009-01-25,Diarrhoea,4,3,4
2009-01-26,Yellow Fever,8,6,6
2009-01-26,Viral Haemmorrhaphic Fever,4,2,0
2009-01-26,Rubella Mars,6,4,0
2009-01-26,Measles,5,1,0
2009-01-26,Meningitis,7,6,0
2009-01-26,Malaria,11,9,7
2009-01-26,Ebola,5,4,0
2009-01-26,Diarrhoea,4,2,2
2009-01-26,Cholera,8,7,4
2009-01-26,Marburg Virus,10,2,0
2009-01-27,Yellow Fever,7,2,5
2009-01-27,Viral Haemmorrhaphic Fever,8,4,0
2009-01-27,Rubella Mars,2,0,0
2009-01-27,Meningitis,8,4,0
2009-01-27,Measles,8,4,4
2009-01-27,Marburg Virus,6,3,0
2009-01-27,Ebola,8,6,0
2009-01-27,Diarrhoea,7,2,3
2009-01-27,Cholera,12,8,6
2009-01-27,Malaria,11,2,5
2009-01-28,Yellow Fever,9,7,4
2009-01-28,Viral Haemmorrhaphic Fever,10,5,0
2009-01-28,Rubella Mars,5,1,0
2009-01-28,Meningitis,4,4,0
2009-01-28,Measles,9,7,3
2009-01-28,Marburg Virus,9,5,0
2009-01-28,Ebola,5,2,0
2009-01-28,Diarrhoea,8,5,4
2009-01-28,Cholera,9,5,4
