report_date,disease,cases,deaths,confirmed,month,year,dayofweek,rolling_7d_mean,rolling_14d_mean,rolling_30d_mean,rolling_7d_std,lag_1,lag_3,lag_7,lag_14,growth_rate_1d,growth_rate_7d,spike_ratio,season,threshold,is_outbreak,alert_level,anomaly_score,iso_prediction,iso_outbreak,week,batch_alert,upper1,upper2
2009-01-01,Cholera,12,5,2,1,2009,3,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999166736105325,0,13.480302621840117,0,Normal,0.6446174538986049,-1,1,1,Watch,10.636041721878962,13.480302621840117
2009-01-02,Cholera,8,3,4,1,2009,4,10.0,10.0,10.0,2.8284271247461903,12.0,0.0,0.0,0.0,-0.33333333333333337,0.0,0.7999200079992002,0,13.480302621840117,0,Normal,0.5516937936973866,1,0,1,Normal,10.636041721878962,13.480302621840117
2009-01-03,Cholera,7,4,6,1,2009,5,9.0,9.0,9.0,2.6457513110645907,8.0,0.0,0.0,0.0,-0.125,0.0,0.7776913676258194,0,13.480302621840117,0,Normal,0.5127521047122184,1,0,1,Normal,10.636041721878962,13.480302621840117
2009-01-04,Cholera,5,3,0,1,2009,6,8.0,8.0,8.0,2.943920288775949,7.0,12.0,0.0,0.0,-0.2857142857142857,0.0,0.6249218847644045,0,13.480302621840117,0,Normal,0.4225059237420016,1,0,1,Normal,10.636041721878962,13.480302621840117
2009-01-05,Cholera,8,6,4,1,2009,0,8.0,8.0,8.0,2.5495097567963922,5.0,8.0,0.0,0.0,0.6000000000000001,0.0,0.9998750156230471,0,13.480302621840117,0,Normal,0.4312424947851581,1,0,2,Normal,10.636041721878962,13.480302621840117
2009-01-06,Cholera,6,4,4,1,2009,1,7.666666666666667,7.666666666666667,7.666666666666667,2.4221202832779936,8.0,7.0,0.0,0.0,-0.25,0.0,0.782506629570056,0,13.480302621840117,0,Normal,0.41194464944502474,1,0,2,Normal,10.636041721878962,13.480302621840117
2009-01-07,Cholera,10,5,6,1,2009,2,8.0,8.0,8.0,2.3804761428476167,6.0,5.0,0.0,0.0,0.6666666666666667,0.0,1.249843769528809,0,13.480302621840117,0,Normal,0.4392080091419583,1,0,2,Normal,10.636041721878962,13.480302621840117
2009-01-08,Cholera,5,2,2,1,2009,3,7.0,7.625,7.625,1.8257418583505538,10.0,8.0,12.0,0.0,-0.5,-0.5833333333333333,0.6556517178075006,0,13.480302621840117,0,Normal,0.4172977098076656,1,0,2,Normal,10.636041721878962,13.480302621840117
2009-01-09,Cholera,11,6,5,1,2009,4,7.428571428571429,8.0,8.0,2.370453040886408,5.0,6.0,8.0,0.0,1.2000000000000002,0.375,1.3748281464816898,0,13.480302621840117,0,Normal,0.41845016451487865,1,0,2,Watch,10.636041721878962,13.480302621840117
2009-01-10,Cholera,11,8,5,1,2009,5,8.0,8.3,8.3,2.7080128015453204,11.0,10.0,7.0,0.0,0.0,0.5714285714285714,1.3251415492109384,0,13.480302621840117,0,Normal,0.41402403969655116,1,0,2,Watch,10.636041721878962,13.480302621840117
2009-01-11,Cholera,4,3,2,1,2009,6,7.857142857142857,7.909090909090909,7.909090909090909,2.9113897843110044,11.0,5.0,5.0,0.0,-0.6363636363636364,-0.19999999999999996,0.5056831894817896,0,13.480302621840117,0,Normal,0.4347055370540014,1,0,2,Normal,10.636041721878962,13.480302621840117
2009-01-12,Cholera,7,4,4,1,2009,0,7.714285714285714,7.833333333333333,7.833333333333333,2.9277002188455996,4.0,11.0,8.0,0.0,0.75,-0.125,0.8935029570693103,0,13.480302621840117,0,Normal,0.40633350772364196,1,0,3,Normal,10.636041721878962,13.480302621840117
2009-01-13,Cholera,5,4,1,1,2009,1,7.571428571428571,7.615384615384615,7.615384615384615,3.0472470011002204,7.0,11.0,6.0,0.0,-0.2857142857142857,-0.16666666666666663,0.6564794521931464,0,13.480302621840117,0,Normal,0.38540825926149336,1,0,3,Normal,10.636041721878962,13.480302621840117
2009-01-14,Cholera,10,5,6,1,2009,2,7.571428571428571,7.785714285714286,7.785714285714286,3.0472470011002204,5.0,4.0,10.0,0.0,1.0,0.0,1.2842387216320839,0,13.480302621840117,0,Normal,0.4139965362184293,1,0,3,Normal,10.636041721878962,13.480302621840117
2009-01-15,Cholera,4,3,0,1,2009,3,7.428571428571429,7.214285714285714,7.533333333333333,3.2071349029490923,10.0,7.0,5.0,12.0,-0.6,-0.19999999999999996,0.5309029774808653,0,13.480302621840117,0,Normal,0.42749757933132965,1,0,3,Normal,10.636041721878962,13.480302621840117
2009-01-16,Cholera,12,7,8,1,2009,4,7.571428571428571,7.5,7.8125,3.408672412985387,4.0,5.0,11.0,8.0,2.0,0.09090909090909083,1.5358034171626032,0,13.480302621840117,0,Normal,0.46806764901096626,1,0,3,Watch,10.636041721878962,13.480302621840117
2009-01-17,Cholera,11,6,4,1,2009,5,7.571428571428571,7.785714285714286,8.0,3.408672412985387,12.0,10.0,11.0,7.0,-0.08333333333333337,0.0,1.3748281464816898,0,13.480302621840117,0,Normal,0.4318752807403601,1,0,3,Watch,10.636041721878962,13.480302621840117
2009-01-18,Cholera,10,5,7,1,2009,6,8.428571428571429,8.142857142857142,8.11111111111111,3.101458950082626,11.0,4.0,4.0,5.0,-0.09090909090909094,1.5,1.232724732567218,0,13.480302621840117,0,Normal,0.4353809929173412,1,0,3,Normal,10.636041721878962,13.480302621840117
2009-01-19,Cholera,5,2,2,1,2009,0,8.142857142857142,7.928571428571429,7.947368421052632,3.338091841585121,10.0,12.0,7.0,8.0,-0.5,-0.2857142857142857,0.6290599196127639,0,13.480302621840117,0,Normal,0.3965282844469103,1,0,4,Normal,10.636041721878962,13.480302621840117
2009-01-20,Cholera,8,5,4,1,2009,1,8.571428571428571,8.071428571428571,7.95,3.0472470011002213,5.0,11.0,5.0,6.0,0.6000000000000001,0.6000000000000001,1.0061627468242988,0,13.480302621840117,0,Normal,0.4070827913023065,1,0,4,Normal,10.636041721878962,13.480302621840117
2009-01-21,Cholera,8,4,4,1,2009,2,8.285714285714286,7.928571428571429,7.9523809523809526,2.984084768360629,8.0,10.0,10.0,10.0,0.0,-0.19999999999999996,1.0058615383694265,0,13.480302621840117,0,Normal,0.3872625393557823,1,0,4,Normal,10.636041721878962,13.480302621840117
2009-01-22,Cholera,7,2,4,1,2009,3,8.714285714285714,8.071428571428571,7.909090909090909,2.4299715851758252,8.0,5.0,4.0,5.0,-0.125,0.75,0.8849455815931319,0,13.480302621840117,0,Normal,0.4105448785883764,1,0,4,Normal,10.636041721878962,13.480302621840117
2009-01-23,Cholera,10,4,4,1,2009,4,8.428571428571429,8.0,8.0,2.070196678027064,7.0,8.0,12.0,11.0,0.4285714285714286,-0.16666666666666663,1.249843769528809,0,13.480302621840117,0,Normal,0.4270493378218193,1,0,4,Normal,10.636041721878962,13.480302621840117
2009-01-24,Cholera,7,2,6,1,2009,5,7.857142857142857,7.714285714285714,7.958333333333333,1.7728105208558376,10.0,8.0,11.0,11.0,-0.30000000000000004,-0.36363636363636365,0.8794706424323645,0,13.480302621840117,0,Normal,0.39505019633759253,1,0,4,Normal,10.636041721878962,13.480302621840117
2009-01-25,Cholera,6,6,1,1,2009,6,7.285714285714286,7.857142857142857,7.88,1.6035674514745468,7.0,7.0,10.0,4.0,-0.1428571428571429,-0.4,0.7613247049866768,0,13.480302621840117,0,Normal,0.4032689743999007,1,0,4,Normal,10.636041721878962,13.480302621840117
2009-01-26,Cholera,8,7,4,1,2009,0,7.714285714285714,7.928571428571429,7.884615384615385,1.253566341056019,6.0,10.0,5.0,7.0,0.33333333333333326,0.6000000000000001,1.0145054773540916,0,13.480302621840117,0,Normal,0.42367561986487845,1,0,5,Normal,10.636041721878962,13.480302621840117
2009-01-27,Cholera,12,8,6,1,2009,1,8.285714285714286,8.428571428571429,8.037037037037036,2.0586634591635526,8.0,7.0,8.0,5.0,0.5,0.5,1.4929018048445588,0,13.480302621840117,0,Normal,0.428159439931591,1,0,5,Watch,10.636041721878962,13.480302621840117
2009-01-28,Cholera,9,5,4,1,2009,2,8.428571428571429,8.357142857142858,8.071428571428571,2.0701966780270644,12.0,6.0,8.0,10.0,-0.25,0.125,1.1149061178261102,0,13.480302621840117,0,Normal,0.40371449848947644,1,0,5,Normal,10.636041721878962,13.480302621840117
2009-01-29,Cholera,10,4,6,1,2009,3,8.857142857142858,8.785714285714286,8.137931034482758,2.0354009783964324,9.0,8.0,7.0,4.0,0.11111111111111116,0.4285714285714286,1.22866257959827,0,13.480302621840117,0,Normal,0.40916897943835967,1,0,5,Normal,10.636041721878962,13.480302621840117
2009-01-30,Cholera,6,3,3,1,2009,4,8.285714285714286,8.357142857142858,8.066666666666666,2.2146697055682845,10.0,12.0,10.0,12.0,-0.4,-0.4,0.7437094575052681,0,13.480302621840117,0,Normal,0.40114808687498815,1,0,5,Normal,10.636041721878962,13.480302621840117
2009-01-31,Cholera,6,3,5,1,2009,5,8.142857142857142,8.0,7.866666666666666,2.3401261667248803,6.0,9.0,7.0,11.0,0.0,-0.1428571428571429,0.7626149218319705,0,13.480302621840117,0,Normal,0.39150178330539187,1,0,5,Normal,10.636041721878962,13.480302621840117
2009-02-01,Cholera,11,5,5,2,2009,6,8.857142857142858,8.071428571428571,7.966666666666667,2.340126166724881,6.0,10.0,6.0,10.0,0.8333333333333333,0.8333333333333333,1.3805798435342844,0,13.480302621840117,0,Normal,0.4273316673387673,1,0,5,Watch,10.636041721878962,13.480302621840117
2009-02-02,Cholera,6,3,4,2,2009,0,8.571428571428571,8.142857142857142,7.933333333333334,2.5727509827124013,11.0,6.0,8.0,5.0,-0.4545454545454546,-0.25,0.7562072007730117,0,13.480302621840117,0,Normal,0.40607679807413477,1,0,6,Normal,10.636041721878962,13.480302621840117
2009-02-03,Cholera,10,4,5,2,2009,1,8.285714285714286,8.285714285714286,8.1,2.214669705568284,6.0,6.0,12.0,8.0,0.6666666666666667,-0.16666666666666663,1.2344155042587337,0,13.480302621840117,0,Normal,0.4244657801558711,1,0,6,Normal,10.636041721878962,13.480302621840117
2009-02-04,Cholera,12,8,8,2,2009,2,8.714285714285714,8.571428571428571,8.233333333333333,2.62769136406122,10.0,11.0,9.0,8.0,0.19999999999999996,0.33333333333333326,1.4573128769785049,0,13.480302621840117,0,Normal,0.42742000405407177,1,0,6,Watch,10.636041721878962,13.480302621840117
2009-02-05,Cholera,6,4,1,2,2009,3,8.142857142857142,8.5,8.233333333333333,2.7342623276105895,12.0,6.0,10.0,7.0,-0.5,-0.4,0.7286564384892524,0,13.480302621840117,0,Normal,0.42179908940651445,1,0,6,Normal,10.636041721878962,13.480302621840117
2009-02-06,Cholera,5,0,2,2,2009,4,8.0,8.142857142857142,8.066666666666666,2.886751345948129,6.0,10.0,6.0,10.0,-0.16666666666666663,-0.16666666666666663,0.61975788125439,0,13.480302621840117,0,Normal,0.3998750594335853,1,0,6,Normal,10.636041721878962,13.480302621840117
2009-02-07,Cholera,4,1,2,2,2009,5,7.714285714285714,7.928571428571429,8.033333333333333,3.1997023671109224,5.0,12.0,6.0,7.0,-0.19999999999999996,-0.33333333333333337,0.4978633365141269,0,13.480302621840117,0,Normal,0.42364265371184623,1,0,6,Normal,10.636041721878962,13.480302621840117
2009-02-08,Cholera,12,2,6,2,2009,6,7.857142857142857,8.357142857142858,8.066666666666666,3.38765264987284,4.0,6.0,11.0,6.0,2.0,0.09090909090909083,1.4874189150105361,0,13.480302621840117,0,Normal,0.4687572357883907,1,0,6,Watch,10.636041721878962,13.480302621840117
2009-02-09,Cholera,11,7,5,2,2009,0,8.571428571428571,8.571428571428571,8.066666666666666,3.4572215654165066,12.0,5.0,6.0,8.0,-0.08333333333333337,0.8333333333333333,1.363467338759658,0,13.480302621840117,0,Normal,0.42690914897797,1,0,7,Watch,10.636041721878962,13.480302621840117
2009-02-10,Cholera,4,3,1,2,2009,1,7.714285714285714,8.0,8.066666666666666,3.773340063934768,11.0,4.0,10.0,12.0,-0.6363636363636364,-0.6,0.495806305003512,0,13.480302621840117,0,Normal,0.4539497855958302,1,0,7,Normal,10.636041721878962,13.480302621840117
2009-02-11,Cholera,6,2,4,2,2009,2,6.857142857142857,7.785714285714286,8.033333333333333,3.2877840272018783,4.0,12.0,12.0,9.0,0.5,-0.5,0.7467950047711903,0,13.480302621840117,0,Normal,0.4350092353519139,1,0,7,Normal,10.636041721878962,13.480302621840117
2009-02-12,Cholera,11,5,6,2,2009,3,7.571428571428571,7.857142857142857,8.233333333333333,3.598941643369749,6.0,11.0,6.0,10.0,0.8333333333333333,0.8333333333333333,1.3358701372302961,0,13.480302621840117,0,Normal,0.4274324409546172,1,0,7,Watch,10.636041721878962,13.480302621840117
2009-02-13,Cholera,13,7,8,2,2009,4,8.714285714285714,8.357142857142858,8.333333333333334,3.903600291794134,11.0,4.0,5.0,6.0,0.18181818181818188,1.6,1.5598128224613046,0,13.480302621840117,0,Normal,0.4988597584728279,1,0,7,Watch,10.636041721878962,13.480302621840117
2009-02-14,Cholera,9,6,5,2,2009,5,9.428571428571429,8.571428571428571,8.5,3.3094381626464893,13.0,6.0,4.0,6.0,-0.3076923076923077,1.25,1.0586989765909893,0,13.480302621840117,0,Normal,0.46988493045685487,1,0,7,Normal,10.636041721878962,13.480302621840117
2009-02-15,Cholera,10,4,5,2,2009,6,9.142857142857142,8.5,8.433333333333334,3.1320159337914975,9.0,11.0,12.0,11.0,0.11111111111111116,-0.16666666666666663,1.1856301624313323,0,13.480302621840117,0,Normal,0.4423100636330267,1,0,7,Normal,10.636041721878962,13.480302621840117
2009-02-16,Cholera,9,6,6,2,2009,0,8.857142857142858,8.714285714285714,8.366666666666667,3.02371578407382,10.0,13.0,11.0,6.0,-0.09999999999999998,-0.18181818181818177,1.0755686571326137,0,13.480302621840117,0,Normal,0.42303247392020443,1,0,8,Normal,10.636041721878962,13.480302621840117
2009-02-17,Cholera,7,3,3,2,2009,1,9.285714285714286,8.5,8.266666666666667,2.360387377408333,9.0,9.0,4.0,10.0,-0.2222222222222222,0.75,0.846671773575777,0,13.480302621840117,0,Normal,0.4355978968366185,1,0,8,Normal,10.636041721878962,13.480302621840117
2009-02-18,Cholera,10,6,4,2,2009,2,9.857142857142858,8.357142857142858,8.433333333333334,1.864454471471615,7.0,10.0,6.0,12.0,0.4285714285714286,0.6666666666666667,1.1856301624313323,0,13.480302621840117,0,Normal,0.4645556721537725,1,0,8,Normal,10.636041721878962,13.480302621840117
2009-02-19,Cholera,7,4,5,2,2009,3,9.285714285714286,8.428571428571429,8.4,2.058663459163555,10.0,9.0,11.0,6.0,-0.30000000000000004,-0.36363636363636365,0.8332341387930009,0,13.480302621840117,0,Normal,0.43719474922042667,1,0,8,Normal,10.636041721878962,13.480302621840117
2009-02-20,Cholera,7,5,0,2,2009,4,8.428571428571429,8.571428571428571,8.366666666666667,1.397276262011546,7.0,7.0,13.0,5.0,0.0,-0.46153846153846156,0.8365533999920328,0,13.480302621840117,0,Normal,0.4600307038272779,1,0,8,Normal,10.636041721878962,13.480302621840117
2009-02-21,Cholera,11,2,6,2,2009,5,8.714285714285714,9.071428571428571,8.5,1.7043362064926966,7.0,10.0,9.0,4.0,0.5714285714285714,0.22222222222222232,1.2939654158334315,0,13.480302621840117,0,Normal,0.4725739051604378,1,0,8,Watch,10.636041721878962,13.480302621840117
2009-02-22,Cholera,13,9,6,2,2009,6,9.142857142857142,9.142857142857142,8.6,2.3401261667248825,11.0,7.0,10.0,12.0,0.18181818181818188,0.30000000000000004,1.5114521567259622,0,13.480302621840117,0,Normal,0.5022930466402948,1,0,8,Watch,10.636041721878962,13.480302621840117
2009-02-23,Cholera,10,7,6,2,2009,0,9.285714285714286,9.071428571428571,8.7,2.360387377408333,13.0,7.0,9.0,11.0,-0.23076923076923073,0.11111111111111116,1.149293184691415,0,13.480302621840117,0,Normal,0.47873280772900073,1,0,9,Normal,10.636041721878962,13.480302621840117
2009-02-24,Cholera,12,5,10,2,2009,1,10.0,9.642857142857142,8.9,2.3094010767585083,10.0,11.0,7.0,4.0,0.19999999999999996,0.7142857142857142,1.3481631277384565,0,13.480302621840117,0,Normal,0.5404123220419905,1,0,9,Watch,10.636041721878962,13.480302621840117
