date,hospital_id,department,total_beds,occupied_beds,admissions,discharges,avg_length_of_stay,staff_on_duty,occupancy_rate,month,day_of_week,is_weekend,season,year,occupancy_rate_rolling_7d,occupancy_rate_rolling_14d,occupancy_rate_rolling_30d,occupancy_rate_rolling_7d_std,admissions_rolling_7d,admissions_rolling_14d,admissions_rolling_30d,admissions_rolling_7d_std,discharges_rolling_7d,discharges_rolling_14d,discharges_rolling_30d,discharges_rolling_7d_std,staff_on_duty_rolling_7d,staff_on_duty_rolling_14d,staff_on_duty_rolling_30d,staff_on_duty_rolling_7d_std,occupancy_rate_lag_1d,occupancy_rate_lag_3d,occupancy_rate_lag_7d,occupancy_rate_lag_14d,admissions_lag_1d,admissions_lag_3d,admissions_lag_7d,admissions_lag_14d,discharges_lag_1d,discharges_lag_3d,discharges_lag_7d,discharges_lag_14d,occupancy_rate_pct_change_1d,occupancy_rate_pct_change_7d,admissions_pct_change_1d,admissions_pct_change_7d,discharges_pct_change_1d,discharges_pct_change_7d,staff_on_duty_pct_change_1d,staff_on_duty_pct_change_7d,day_of_month,quarter,week_of_year,is_month_start,is_month_end,is_quarter_end,season_winter,season_spring,season_summer,season_fall,dept_ER,dept_General Ward,dept_ICU,hospital_1,hospital_2,hospital_3,hospital_4
2019-01-01,1,ER,50,39,5,6,2,21,79.98,1,1,0,Winter,2019,79.98,79.98,79.98,0.0,5.0,5.0,5.0,0.0,6.0,6.0,6.0,0.0,21.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,1,0,0,0,True,False,False,True,False,False,False
2019-01-02,1,ER,50,37,4,7,3,20,75.03,1,2,0,Winter,2019,77.505,77.505,77.505,3.5001785668734073,4.5,4.5,4.5,0.7071067811865476,6.5,6.5,6.5,0.7071067811865476,20.5,20.5,20.5,0.7071067811865476,79.98,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,-0.06189047261815461,0.0,-0.19999999999999996,0.0,0.16666666666666674,0.0,-0.04761904761904767,0.0,2,1,1,0,0,0,1,0,0,0,True,False,False,True,False,False,False
2019-01-03,1,ER,50,42,6,3,4,23,85.22,1,3,0,Winter,2019,80.07666666666667,80.07666666666667,80.07666666666667,5.0956877193695185,5.0,5.0,5.0,1.0,5.333333333333333,5.333333333333333,5.333333333333333,2.0816659994661326,21.333333333333332,21.333333333333332,21.333333333333332,1.5275252316519472,75.03,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.13581234172997458,0.0,0.5,0.0,-0.5714285714285714,0.0,0.1499999999999999,0.0,3,1,1,0,0,0,1,0,0,0,True,False,False,True,False,False,False
2019-01-04,1,ER,50,39,12,10,3,20,78.8,1,4,0,Winter,2019,79.7575,79.7575,79.7575,4.209294279725917,6.75,6.75,6.75,3.593976442141304,6.5,6.5,6.5,2.886751345948129,21.0,21.0,21.0,1.4142135623730951,85.22,79.98,0.0,0.0,6.0,5.0,0.0,0.0,3.0,6.0,0.0,0.0,-0.07533442853790195,0.0,1.0,0.0,2.3333333333333335,0.0,-0.13043478260869568,0.0,4,1,1,0,0,0,1,0,0,0,True,False,False,True,False,False,False
2019-01-05,1,ER,50,31,5,4,1,23,63.9,1,5,1,Winter,2019,76.586,76.586,76.586,7.97374943172909,6.4,6.4,6.4,3.2093613071762426,6.0,6.0,6.0,2.7386127875258306,21.4,21.4,21.4,1.5165750888103104,78.8,75.03,0.0,0.0,12.0,4.0,0.0,0.0,10.0,7.0,0.0,0.0,-0.1890862944162437,0.0,-0.5833333333333333,0.0,-0.6,0.0,0.1499999999999999,0.0,5,1,1,0,0,0,1,0,0,0,True,False,False,True,False,False,False
2019-01-06,1,ER,50,28,7,4,3,21,56.61,1,6,1,Winter,2019,73.25666666666667,73.25666666666667,73.25666666666667,10.833803887216467,6.5,6.5,6.5,2.8809720581775866,5.666666666666667,5.666666666666667,5.666666666666667,2.581988897471611,21.333333333333332,21.333333333333332,21.333333333333332,1.3662601021279468,63.9,85.22,0.0,0.0,5.0,6.0,0.0,0.0,4.0,3.0,0.0,0.0,-0.11408450704225348,0.0,0.3999999999999999,0.0,0.0,0.0,-0.08695652173913049,0.0,6,1,1,0,0,0,1,0,0,0,True,False,False,True,False,False,False
2019-01-07,1,ER,50,39,6,9,1,26,79.56,1,0,0,Winter,2019,74.15714285714286,74.15714285714286,74.15714285714286,10.172778568784626,6.428571428571429,6.428571428571429,6.428571428571429,2.63673679998231,6.142857142857143,6.142857142857143,6.142857142857143,2.6726124191242437,22.0,22.0,22.0,2.160246899469287,56.61,78.8,0.0,0.0,7.0,12.0,0.0,0.0,4.0,10.0,0.0,0.0,0.4054054054054055,0.0,-0.1428571428571429,0.0,1.25,0.0,0.23809523809523814,0.0,7,1,2,0,0,0,1,0,0,0,True,False,False,True,False,False,False
2019-01-08,1,ER,50,40,4,11,2,22,81.99,1,1,0,Winter,2019,74.44428571428571,75.13625,75.13625,10.390567609043078,6.285714285714286,6.125,6.125,2.751622897751175,6.857142857142857,6.75,6.75,3.236694374850748,22.142857142857142,22.0,22.0,2.1157009420498154,79.56,63.9,79.98,0.0,6.0,5.0,5.0,0.0,9.0,4.0,6.0,0.0,0.030542986425339258,0.025131282820705092,-0.33333333333333337,-0.19999999999999996,0.22222222222222232,0.8333333333333333,-0.15384615384615385,0.04761904761904767,8,1,2,0,0,0,1,0,0,0,True,False,False,True,False,False,False
2019-01-09,1,ER,50,34,4,9,2,21,69.72,1,2,0,Winter,2019,73.68571428571428,74.53444444444443,74.53444444444443,10.533527198336518,6.285714285714286,5.888888888888889,5.888888888888889,2.751622897751175,7.142857142857143,7.0,7.0,3.3380918415851206,22.285714285714285,21.88888888888889,21.88888888888889,1.9760470401187076,81.99,56.61,75.03,0.0,4.0,7.0,4.0,0.0,11.0,4.0,7.0,0.0,-0.14965239663373575,-0.07077169132347061,0.0,0.0,-0.18181818181818177,0.2857142857142858,-0.045454545454545414,0.050000000000000044,9,1,2,0,0,0,1,0,0,0,True,False,False,True,False,False,False
2019-01-10,1,ER,50,44,5,8,1,21,88.61,1,3,0,Winter,2019,74.16999999999999,75.942,75.942,11.208508672730133,6.142857142857143,5.8,5.8,2.7945525240230875,7.857142857142857,7.1,7.1,2.794552524023087,22.0,21.8,21.8,1.9999999999999998,69.72,79.56,85.22,0.0,4.0,6.0,6.0,0.0,9.0,9.0,3.0,0.0,0.27094090648307523,0.039779394508331345,0.25,-0.16666666666666663,-0.11111111111111116,1.6666666666666665,0.0,-0.08695652173913049,10,1,2,0,0,0,1,0,0,0,True,False,False,True,False,False,False
