date,hospital_id,department,total_beds,occupied_beds,admissions,discharges,avg_length_of_stay,staff_on_duty,occupancy_rate
2019-01-01,1,ER,50,39,5,6,2,21,79.98
2019-01-02,1,ER,50,37,4,7,3,20,75.03
2019-01-03,1,ER,50,42,6,3,4,23,85.22
2019-01-04,1,ER,50,39,12,10,3,20,78.8
2019-01-05,1,ER,50,31,5,4,1,23,63.9
2019-01-06,1,ER,50,28,7,4,3,21,56.61
2019-01-07,1,ER,50,39,6,9,1,26,79.56
2019-01-08,1,ER,50,40,4,11,2,22,81.99
2019-01-09,1,ER,50,34,4,9,2,21,69.72
2019-01-10,1,ER,50,44,5,8,1,21,88.61
2019-01-11,1,ER,50,37,3,8,3,19,74.77
2019-01-12,1,ER,50,31,3,7,3,24,63.62
2019-01-13,1,ER,50,32,7,10,2,17,64.12
2019-01-14,1,ER,50,40,9,8,4,21,80.06
2019-01-15,1,ER,50,40,11,8,2,19,80.3
2019-01-16,1,ER,50,40,10,3,2,24,81.14
2019-01-17,1,ER,50,39,12,5,3,19,78.31
2019-01-18,1,ER,50,38,6,9,2,20,76.03
2019-01-19,1,ER,50,29,12,11,3,17,59.6
2019-01-20,1,ER,50,32,5,6,3,19,64.98
2019-01-21,1,ER,50,40,11,2,3,22,81.73
2019-01-22,1,ER,50,40,4,10,2,21,81.65
2019-01-23,1,ER,50,38,4,8,3,24,77.17
2019-01-24,1,ER,50,37,8,5,3,16,74.35
2019-01-25,1,ER,50,42,2,3,2,25,85.18
2019-01-26,1,ER,50,31,10,8,2,19,62.27
2019-01-27,1,ER,50,26,8,10,1,19,53.34
2019-01-28,1,ER,50,38,9,10,4,23,76.48
2019-01-29,1,ER,50,38,7,7,3,19,76.68
2019-01-30,1,ER,50,38,7,5,2,23,77.98
2019-01-31,1,ER,50,37,5,11,3,24,75.68
2019-02-01,1,ER,50,40,6,6,2,21,80.09
2019-02-02,1,ER,50,32,10,5,3,23,64.98
2019-02-03,1,ER,50,36,9,10,4,19,72.27
2019-02-04,1,ER,50,39,10,11,2,22,79.65
2019-02-05,1,ER,50,44,11,9,3,22,88.14
2019-02-06,1,ER,50,42,5,6,3,19,84.13
2019-02-07,1,ER,50,36,8,8,4,23,73.86
2019-02-08,1,ER,50,38,6,6,3,24,77.25
2019-02-09,1,ER,50,31,3,8,2,21,63.07
2019-02-10,1,ER,50,34,6,6,2,24,69.7
2019-02-11,1,ER,50,42,8,5,1,21,84.48
2019-02-12,1,ER,50,39,5,0,3,21,79.85
2019-02-13,1,ER,50,40,6,6,2,23,81.49
2019-02-14,1,ER,50,42,3,8,3,19,85.68
2019-02-15,1,ER,50,40,9,4,2,22,81.97
2019-02-16,1,ER,50,35,7,7,3,21,70.68
2019-02-17,1,ER,50,30,11,6,3,20,61.66
2019-02-18,1,ER,50,45,7,4,3,24,91.45
2019-02-19,1,ER,50,37,7,8,2,21,75.09
2019-02-20,1,ER,50,40,7,5,3,19,81.91
2019-02-21,1,ER,50,43,6,8,3,25,87.72
